Step,Net_Worth,Action
0,10000.0,Start
1,11057.273303607455,Sell
2,11057.273303607455,Sell
3,11057.273303607455,Sell
4,11057.273303607455,Sell
5,11057.273303607455,Sell
6,11057.273303607455,Sell
7,11057.273303607455,Sell
8,11057.273303607455,Sell
9,11057.273303607455,Sell
10,11057.273303607455,Sell
11,11057.273303607455,Sell
12,11057.273303607455,Sell
13,11057.273303607455,Sell
14,11057.273303607455,Sell
15,11057.273303607455,Sell
16,11057.273303607455,Sell
17,11057.273303607455,Sell
18,11057.273303607455,Sell
19,11057.273303607455,Sell
20,11057.273303607455,Sell
21,11057.273303607455,Sell
22,11057.273303607455,Sell
23,11057.273303607455,Sell
24,11057.273303607455,Sell
25,11057.273303607455,Sell
26,11057.273303607455,Sell
27,11057.273303607455,Sell
28,11057.273303607455,Sell
29,11057.273303607455,Sell
30,11057.273303607455,Sell
31,11057.273303607455,Sell
32,11057.273303607455,Sell
33,11057.273303607455,Sell
34,11057.273303607455,Sell
35,11057.273303607455,Sell
36,11057.273303607455,Sell
37,11057.273303607455,Sell
38,11057.273303607455,Sell
39,11057.273303607455,Sell
40,11057.273303607455,Sell
41,11057.273303607455,Sell
42,11057.273303607455,Sell
43,11057.273303607455,Sell
44,11057.273303607455,Sell
45,11057.273303607455,Sell
46,11057.273303607455,Sell
47,11057.273303607455,Sell
48,11057.273303607455,Sell
49,11057.273303607455,Sell
50,11057.273303607455,Sell
51,11057.273303607455,Sell
52,11057.273303607455,Sell
53,11057.273303607455,Sell
54,11057.273303607455,Sell
55,11057.273303607455,Sell
56,11057.273303607455,Sell
57,11057.273303607455,Sell
58,11057.273303607455,Sell
59,11057.273303607455,Sell
60,11057.273303607455,Sell
61,11057.273303607455,Sell
62,11057.273303607455,Sell
63,11057.273303607455,Sell
64,11057.273303607455,Sell
65,11057.273303607455,Sell
66,11057.273303607455,Sell
67,11057.273303607455,Sell
68,11057.273303607455,Sell
69,11057.273303607455,Sell
70,11057.273303607455,Sell
71,11057.273303607455,Sell
72,11057.273303607455,Sell
73,11057.273303607455,Sell
