step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward,real_shares_bought,real_shares_sold
0,2024-08-19,1,379.15321038818354,3.0,225.39393615722656,206.53585815429688,1055.3350188598633,[-1.1155993],3.0,0.0
1,2024-08-20,1,169.61780380249022,4.0,226.0125732421875,207.1811866760254,1073.6680967712402,[1.103727],1.0,0.0
2,2024-08-21,0,169.61780380249022,4.0,225.90280151367188,207.1811866760254,1073.2290098571777,[1.2834625],0.0,0.0
3,2024-08-22,2,1029.956422454834,0.0,224.03692626953125,0.0,1029.956422454834,[5.050094],0.0,4.0
4,2024-08-23,1,377.4972330932617,3.0,226.3418426513672,217.0522918701172,1056.5227610473632,[-1.1189307],3.0,0.0
5,2024-08-26,2,1038.5247472839355,0.0,226.6810913085937,0.0,1038.5247472839355,[4.408165],0.0,3.0
6,2024-08-27,1,373.498068939209,3.0,227.5292205810547,221.23309326171875,1056.0857306823732,[-1.1202549],3.0,0.0
7,2024-08-28,1,148.82311447143564,4.0,225.9926147460937,221.9814453125,1052.7935734558105,[1.1703068],1.0,0.0
8,2024-08-29,2,1049.233041229248,0.0,229.28536987304688,0.0,1049.233041229248,[4.133035],0.0,4.0
9,2024-08-30,1,371.6988691406251,3.0,228.49710083007807,225.39393615722656,1057.1901716308594,[-1.1215724],3.0,0.0
10,2024-09-03,0,371.6988691406251,3.0,222.28077697753903,225.39393615722656,1038.5412000732422,[0.58348924],0.0,0.0
11,2024-09-04,1,145.3442620239259,4.0,220.3650054931641,225.5211524963379,1026.8042839965822,[-1.0749298],1.0,0.0
12,2024-09-05,1,145.3442620239259,4.0,221.89163208007807,225.5211524963379,1032.9107903442382,[-1.2423905],0.0,0.0
13,2024-09-06,2,1048.9008978881836,0.0,220.3350830078125,0.0,1048.9008978881836,[3.3435824],0.0,4.0
14,2024-09-09,1,367.49753741455106,3.0,220.42486572265625,226.68109130859366,1028.7721345825198,[-1.12198],3.0,0.0
15,2024-09-10,2,1048.7200238342289,0.0,219.6266326904297,0.0,1048.7200238342289,[2.6249835],0.0,3.0
16,2024-09-11,1,369.3862239074713,3.0,222.1710205078125,225.99261474609366,1035.8992854309088,[-1.1217619],3.0,0.0
17,2024-09-12,2,1055.8666213073736,0.0,222.28077697753903,0.0,1055.8666213073736,[4.243885],0.0,3.0
18,2024-09-13,1,369.00433621215905,3.0,222.01138305664065,228.49710083007804,1035.038485382081,[-1.1225549],3.0,0.0
19,2024-09-16,2,1034.512982482911,0.0,215.844955444336,0.0,1034.512982482911,[-1.1265335],0.0,3.0
20,2024-09-17,1,372.0957759704597,3.0,216.3139038085937,220.3650054931641,1021.0374873962407,[-1.01998],3.0,0.0
21,2024-09-18,2,1036.4393224182134,0.0,220.20535278320312,0.0,1036.4393224182134,[3.5607793],0.0,3.0
22,2024-09-19,1,374.11206289672896,3.0,228.3673858642578,220.3350830078125,1059.2142204895024,[-1.1199704],3.0,0.0
23,2024-09-20,0,374.11206289672896,3.0,227.6988525390625,220.3350830078125,1057.2086205139165,[0.4269283],0.0,0.0
24,2024-09-23,0,374.11206289672896,3.0,225.97265625,220.3350830078125,1052.030031646729,[-1.2221841],0.0,0.0
25,2024-09-24,0,374.11206289672896,3.0,226.8706817626953,220.3350830078125,1054.724108184815,[1.0430262],0.0,0.0
26,2024-09-25,0,374.11206289672896,3.0,225.8728790283203,220.3350830078125,1051.73069998169,[0.43291503],0.0,0.0
27,2024-09-26,2,1038.8141437683112,0.0,227.0203552246093,0.0,1038.8141437683112,[1.7074094],0.0,3.0
28,2024-09-27,1,389.98420770263715,3.0,227.2897491455078,215.84495544433602,1071.8534551391606,[-1.1335484],3.0,0.0
29,2024-09-30,2,1037.6280357055666,0.0,232.4883270263672,0.0,1037.6280357055666,[2.513673],0.0,3.0
30,2024-10-01,1,375.69074523925804,3.0,225.71324157714844,220.20535278320312,1052.8304699707032,[-1.1199293],3.0,0.0
31,2024-10-02,0,375.69074523925804,3.0,226.281982421875,220.20535278320312,1054.536692504883,[1.3851761],0.0,0.0
