step,date,action,balance,shares_held,price,total_asset,reward,real_shares_bought,real_shares_sold
0,2024-08-19,2,1000.0,0,225.39393615722656,1000.0,[-0.2],0,0
1,2024-08-20,1,371.39378024292,3,226.0125732421875,1049.4314999694825,[-0.3639077],3,0
2,2024-08-21,2,1007.9046758117677,0,225.90280151367188,1007.9046758117677,[1.2363077],0,3
3,2024-08-22,1,360.064523590088,3,224.03692626953125,1032.1753023986817,[-0.36585787],3,0
4,2024-08-23,2,1009.9190854492189,0,226.3418426513672,1009.9190854492189,[0.93497616],0,3
5,2024-08-26,0,1009.9190854492189,0,226.6810913085937,1009.9190854492189,[-0.1],0,0
6,2024-08-27,0,1009.9190854492189,0,227.5292205810547,1009.9190854492189,[-0.005],0,0
7,2024-08-28,0,1009.9190854492189,0,225.9926147460937,1009.9190854492189,[-0.2],0,0
8,2024-08-29,0,1009.9190854492189,0,229.28536987304688,1009.9190854492189,[-0.105],0,0
9,2024-08-30,0,1009.9190854492189,0,228.49710083007807,1009.9190854492189,[-0.105],0,0
10,2024-09-03,0,1009.9190854492189,0,222.28077697753903,1009.9190854492189,[-0.105],0,0
11,2024-09-04,0,1009.9190854492189,0,220.3650054931641,1009.9190854492189,[-0.105],0,0
12,2024-09-05,0,1009.9190854492189,0,221.89163208007807,1009.9190854492189,[-0.105],0,0
13,2024-09-06,0,1009.9190854492189,0,220.3350830078125,1009.9190854492189,[-0.2],0,0
14,2024-09-09,0,1009.9190854492189,0,220.42486572265625,1009.9190854492189,[-0.105],0,0
15,2024-09-10,2,1009.9190854492189,0,219.6266326904297,1009.9190854492189,[-0.2],0,0
16,2024-09-11,0,1009.9190854492189,0,222.1710205078125,1009.9190854492189,[-0.105],0,0
17,2024-09-12,0,1009.9190854492189,0,222.28077697753903,1009.9190854492189,[-0.2],0,0
18,2024-09-13,0,1009.9190854492189,0,222.01138305664065,1009.9190854492189,[-0.105],0,0
19,2024-09-16,0,1009.9190854492189,0,215.844955444336,1009.9190854492189,[-0.105],0,0
20,2024-09-17,0,1009.9190854492189,0,216.3139038085937,1009.9190854492189,[-0.005],0,0
21,2024-09-18,0,1009.9190854492189,0,220.20535278320312,1009.9190854492189,[-0.005],0,0
22,2024-09-19,0,1009.9190854492189,0,228.3673858642578,1009.9190854492189,[-0.005],0,0
23,2024-09-20,2,1009.9190854492189,0,227.6988525390625,1009.9190854492189,[-0.2],0,0
24,2024-09-23,0,1009.9190854492189,0,225.97265625,1009.9190854492189,[-0.105],0,0
