step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward,real_shares_bought,real_shares_sold
0,2024-10-01,0,1000,0,2667.300048828125,0,1000.0,[-1.005],0,0
1,2024-10-02,0,1000,0,2647.10009765625,0,1000.0,[-1.005],0,0
2,2024-10-03,0,1000,0,2657.10009765625,0,1000.0,[-1.005],0,0
3,2024-10-04,0,1000,0,2645.800048828125,0,1000.0,[-1.005],0,0
4,2024-10-07,1,1000,0,2644.800048828125,0,1000.0,[-1.3],0,0
5,2024-10-08,1,1000,0,2615.0,0,1000.0,[-1.3],0,0
6,2024-10-09,1,1000,0,2606.0,0,1000.0,[-1.3],0,0
7,2024-10-10,0,1000,0,2620.60009765625,0,1000.0,[-1.005],0,0
8,2024-10-11,1,1000,0,2657.60009765625,0,1000.0,[-1.3],0,0
9,2024-10-14,1,1000,0,2647.800048828125,0,1000.0,[-1.3],0,0
10,2024-10-15,1,1000,0,2661.39990234375,0,1000.0,[-1.3],0,0
11,2024-10-16,1,1000,0,2674.0,0,1000.0,[-1.3],0,0
12,2024-10-17,1,1000,0,2691.0,0,1000.0,[-1.3],0,0
13,2024-10-18,1,1000,0,2713.699951171875,0,1000.0,[-1.3],0,0
14,2024-10-21,2,1000,0,2723.10009765625,0,1000.0,[-1.5],0,0
15,2024-10-22,1,1000,0,2744.199951171875,0,1000.0,[-1.3],0,0
16,2024-10-23,1,1000,0,2714.39990234375,0,1000.0,[-1.3],0,0
17,2024-10-24,1,1000,0,2734.89990234375,0,1000.0,[-1.3],0,0
18,2024-10-25,1,1000,0,2740.89990234375,0,1000.0,[-1.3],0,0
19,2024-10-28,1,1000,0,2742.89990234375,0,1000.0,[-1.3],0,0
20,2024-10-29,1,1000,0,2768.39990234375,0,1000.0,[-1.35],0,0
21,2024-10-30,1,1000,0,2788.5,0,1000.0,[-1.35],0,0
22,2024-10-31,1,1000,0,2738.300048828125,0,1000.0,[-1.35],0,0
23,2024-11-01,1,1000,0,2738.60009765625,0,1000.0,[-1.35],0,0
24,2024-11-04,1,1000,0,2736.10009765625,0,1000.0,[-1.35],0,0
25,2024-11-05,1,1000,0,2740.300048828125,0,1000.0,[-1.35],0,0
26,2024-11-06,1,1000,0,2667.60009765625,0,1000.0,[-1.35],0,0
27,2024-11-07,1,1000,0,2698.39990234375,0,1000.0,[-1.35],0,0
28,2024-11-08,1,1000,0,2687.5,0,1000.0,[-1.35],0,0
29,2024-11-11,1,1000,0,2611.199951171875,0,1000.0,[-1.35],0,0
30,2024-11-12,1,1000,0,2600.0,0,1000.0,[-1.35],0,0
31,2024-11-13,1,1000,0,2580.800048828125,0,1000.0,[-1.35],0,0
32,2024-11-14,1,1000,0,2568.199951171875,0,1000.0,[-1.35],0,0
33,2024-11-15,1,1000,0,2565.699951171875,0,1000.0,[-1.35],0,0
34,2024-11-18,1,1000,0,2610.60009765625,0,1000.0,[-1.35],0,0
35,2024-11-19,1,1000,0,2627.10009765625,0,1000.0,[-1.35],0,0
36,2024-11-20,1,1000,0,2648.199951171875,0,1000.0,[-1.35],0,0
37,2024-11-21,1,1000,0,2672.10009765625,0,1000.0,[-1.35],0,0
38,2024-11-22,1,1000,0,2709.89990234375,0,1000.0,[-1.35],0,0
39,2024-11-25,1,1000,0,2616.800048828125,0,1000.0,[-1.35],0,0
40,2024-11-26,1,1000,0,2620.300048828125,0,1000.0,[-1.35],0,0
41,2024-11-27,1,1000,0,2639.89990234375,0,1000.0,[-1.35],0,0
42,2024-11-29,1,1000,0,2657.0,0,1000.0,[-1.35],0,0
43,2024-12-02,1,1000,0,2634.89990234375,0,1000.0,[-1.35],0,0
44,2024-12-03,0,1000,0,2644.699951171875,0,1000.0,[-1.055],0,0
45,2024-12-04,1,1000,0,2653.800048828125,0,1000.0,[-1.35],0,0
46,2024-12-05,1,1000,0,2626.60009765625,0,1000.0,[-1.35],0,0
47,2024-12-06,2,1000,0,2638.60009765625,0,1000.0,[-1.55],0,0
48,2024-12-09,1,1000,0,2664.89990234375,0,1000.0,[-1.35],0,0
49,2024-12-10,1,1000,0,2697.60009765625,0,1000.0,[-1.35],0,0
50,2024-12-11,1,1000,0,2733.800048828125,0,1000.0,[-1.35],0,0
51,2024-12-12,1,1000,0,2687.5,0,1000.0,[-1.35],0,0
52,2024-12-13,1,1000,0,2656.0,0,1000.0,[-1.35],0,0
53,2024-12-16,1,1000,0,2651.39990234375,0,1000.0,[-1.35],0,0
54,2024-12-17,1,1000,0,2644.39990234375,0,1000.0,[-1.35],0,0
55,2024-12-18,1,1000,0,2636.5,0,1000.0,[-1.35],0,0
56,2024-12-19,1,1000,0,2592.199951171875,0,1000.0,[-1.35],0,0
57,2024-12-20,1,1000,0,2628.699951171875,0,1000.0,[-1.35],0,0
58,2024-12-23,2,1000,0,2612.300048828125,0,1000.0,[-1.55],0,0
59,2024-12-24,2,1000,0,2620.0,0,1000.0,[-1.55],0,0
60,2024-12-26,1,1000,0,2638.800048828125,0,1000.0,[-1.35],0,0
61,2024-12-27,1,1000,0,2617.199951171875,0,1000.0,[-1.35],0,0
62,2024-12-30,1,1000,0,2606.10009765625,0,1000.0,[-1.35],0,0
63,2024-12-31,1,1000,0,2629.199951171875,0,1000.0,[-1.35],0,0
64,2025-01-02,1,1000,0,2658.89990234375,0,1000.0,[-1.35],0,0
65,2025-01-03,1,1000,0,2645.0,0,1000.0,[-1.35],0,0
