step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward
0,2024-09-18,0,5000.0,0.0,2570.699951171875,0.0,5000.0,-0.05419113114476204
1,2024-09-19,0,4423.529690206051,0.2225248900226316,2588.0,2588.0,4999.424105584621,0.1390431523323059
2,2024-09-20,0,4423.529690206051,0.2225248900226316,2619.89990234375,2588.0,5006.522627845397,0.011326082982122898
3,2024-09-23,0,4423.529690206051,0.2225248900226316,2626.5,2588.0,5007.991313850493,0.013876352459192276
4,2024-09-24,0,4423.529690206051,0.2225248900226316,2651.199951171875,2588.0,5013.487667768579,0.023420382291078568
5,2024-09-25,0,4423.529690206051,0.2225248900226316,2659.199951171875,2588.0,5015.267866888759,0.026511572301387787
6,2024-09-26,0,4423.529690206051,0.2225248900226316,2669.89990234375,2588.0,5017.648872346529,0.03064602054655552
7,2024-09-27,0,4423.529690206051,0.2225248900226316,2644.300048828125,2588.0,5011.952267758369,0.020754268392920494
8,2024-09-30,0,4423.529690206051,0.2225248900226316,2636.10009765625,2588.0,5010.127574525656,0.017585817724466324
9,2024-10-01,0,4423.529690206051,0.2225248900226316,2667.300048828125,2588.0,5017.070340228889,0.029641440138220787
10,2024-10-02,0,4423.529690206051,0.2225248900226316,2647.10009765625,2588.0,5012.575348315905,0.021836204454302788
11,2024-10-03,0,4423.529690206051,0.2225248900226316,2657.10009765625,2588.0,5014.800597216132,0.025700192898511887
12,2024-10-04,0,4423.529690206051,0.2225248900226316,2645.800048828125,2588.0,5012.286055093403,0.02133386768400669
13,2024-10-07,0,4423.529690206051,0.2225248900226316,2644.800048828125,2588.0,5012.06353020338,0.020947469398379326
14,2024-10-08,0,4423.529690206051,0.2225248900226316,2615.0,2588.0,5005.432277615232,0.00943276658654213
15,2024-10-09,0,4423.529690206051,0.2225248900226316,2606.0,2588.0,5003.429553605029,0.005955177824944258
16,2024-10-10,0,4423.529690206051,0.2225248900226316,2620.60009765625,2588.0,5006.678438730305,0.011596637777984142
17,2024-10-11,0,4423.529690206051,0.2225248900226316,2657.60009765625,2588.0,5014.911859661142,0.02589339204132557
18,2024-10-14,0,4423.529690206051,0.2225248900226316,2647.800048828125,2588.0,5012.731104873448,0.02210666425526142
19,2024-10-15,0,4423.529690206051,0.2225248900226316,2661.39990234375,2588.0,5015.757410781336,0.027361631393432617
20,2024-10-16,0,4423.529690206051,0.2225248900226316,2674.0,2588.0,5018.561246126568,0.03223029524087906
21,2024-10-17,0,4423.529690206051,0.2225248900226316,2691.0,2588.0,5022.344169256952,0.03879907354712486
22,2024-10-18,0,4423.529690206051,0.2225248900226316,2713.699951171875,2588.0,5027.395473394993,0.047570306807756424
23,2024-10-21,0,4423.529690206051,0.2225248900226316,2723.10009765625,2588.0,5029.487239957625,0.05120250955224037
24,2024-10-22,0,4423.529690206051,0.2225248900226316,2744.199951171875,2588.0,5034.182482540684,0.059355467557907104
25,2024-10-23,0,4423.529690206051,0.2225248900226316,2714.39990234375,2588.0,5027.551229952536,0.04784076660871506
26,2024-10-24,0,4423.529690206051,0.2225248900226316,2734.89990234375,2588.0,5032.112990197999,0.05576194077730179
27,2024-10-25,0,4423.529690206051,0.2225248900226316,2740.89990234375,2588.0,5033.448139538135,0.05808033421635628
28,2024-10-28,0,4423.529690206051,0.2225248900226316,2742.89990234375,2588.0,5033.893189318181,0.05885313078761101
29,2024-10-29,0,4423.529690206051,0.2225248900226316,2768.39990234375,2588.0,5039.567574013758,0.06870629638433456
