step,date,action,balance,shares_held,price,total_asset,reward
0,2023-07-05,1,953.4584093379974,3,16.030033111572266,1001.5485086727142,[-0.20473774]
1,2023-07-06,2,1000.6189004039765,0,15.569289207458496,1000.6189004039765,[0.99527454]
2,2023-07-07,2,1000.6189004039765,0,15.684473991394045,1000.6189004039765,[0.]
3,2023-07-10,2,1000.6189004039765,0,15.866850852966309,1000.6189004039765,[0.]
4,2023-07-11,2,1000.6189004039765,0,16.039630889892578,1000.6189004039765,[0.]
5,2023-07-12,2,1000.6189004039765,0,16.778738021850586,1000.6189004039765,[0.]
6,2023-07-13,1,952.6346031227112,3,16.89392852783203,1003.3163887062072,[-0.20488459]
7,2023-07-14,2,1001.2895244178771,0,16.653955459594727,1001.2895244178771,[0.9951248]
8,2023-07-17,2,1001.2895244178771,0,16.663555145263672,1001.2895244178771,[0.]
9,2023-07-18,2,1001.2895244178771,0,16.941917419433594,1001.2895244178771,[0.]
10,2023-07-19,2,1001.2895244178771,0,16.941917419433594,1001.2895244178771,[0.]
11,2023-07-20,2,1001.2895244178771,0,16.586763381958008,1001.2895244178771,[0.]
12,2023-07-21,2,1001.2895244178771,0,16.701946258544922,1001.2895244178771,[0.]
13,2023-07-24,2,1001.2895244178771,0,16.682750701904297,1001.2895244178771,[0.]
14,2023-07-25,2,1001.2895244178771,0,16.826732635498047,1001.2895244178771,[0.]
15,2023-07-26,2,1001.2895244178771,0,16.557966232299805,1001.2895244178771,[0.]
16,2023-07-27,2,1001.2895244178771,0,16.10682487487793,1001.2895244178771,[0.]
17,2023-07-28,2,1001.2895244178771,0,16.298799514770508,1001.2895244178771,[0.]
18,2023-07-31,2,1001.2895244178771,0,16.596363067626953,1001.2895244178771,[0.]
19,2023-08-01,2,1001.2895244178771,0,16.346792221069336,1001.2895244178771,[0.]
20,2023-08-02,2,1001.2895244178771,0,15.876453399658203,1001.2895244178771,[0.]
21,2023-08-03,2,1001.2895244178771,0,15.655677795410156,1001.2895244178771,[0.]
22,2023-08-04,2,1001.2895244178771,0,15.82845687866211,1001.2895244178771,[0.]
23,2023-08-07,2,1001.2895244178771,0,15.838054656982422,1001.2895244178771,[0.]
24,2023-08-08,2,1001.2895244178771,0,15.790061950683594,1001.2895244178771,[0.]
25,2023-08-09,2,1001.2895244178771,0,15.818859100341797,1001.2895244178771,[0.]
26,2023-08-10,2,1001.2895244178771,0,15.991637229919434,1001.2895244178771,[0.]
27,2023-08-11,2,1001.2895244178771,0,16.231609344482422,1001.2895244178771,[0.]
28,2023-08-14,2,1001.2895244178771,0,16.001235961914062,1001.2895244178771,[0.]
29,2023-08-15,2,1001.2895244178771,0,15.377311706542969,1001.2895244178771,[0.]
30,2023-08-16,2,1001.2895244178771,0,15.137343406677246,1001.2895244178771,[0.]
31,2023-08-17,2,1001.2895244178771,0,15.03175449371338,1001.2895244178771,[0.]
32,2023-08-18,1,953.680332118988,3,14.983760833740234,998.6316146202087,[-0.20484641]
33,2023-08-21,1,906.2154058952331,6,15.079748153686523,996.6938948173522,[-0.2049757]
34,2023-08-22,1,858.6639154396056,9,15.204534530639648,995.5047262153624,[-0.05474562]
35,2023-08-23,2,1002.300801038742,0,15.463703155517578,1002.300801038742,[0.9856085]
36,2023-08-24,2,1002.300801038742,0,15.32931900024414,1002.300801038742,[0.]
37,2023-08-25,2,1002.300801038742,0,15.271724700927734,1002.300801038742,[0.]
38,2023-08-28,2,1002.300801038742,0,15.54049301147461,1002.300801038742,[0.]
39,2023-08-29,2,1002.300801038742,0,15.684473991394045,1002.300801038742,[0.]
40,2023-08-30,2,1002.300801038742,0,15.7907133102417,1002.300801038742,[0.]
41,2023-08-31,2,1002.300801038742,0,15.655499458312988,1002.300801038742,[0.]
42,2023-09-01,2,1002.300801038742,0,15.568581581115724,1002.300801038742,[0.]
43,2023-09-05,2,1002.300801038742,0,15.375420570373535,1002.300801038742,[0.]
44,2023-09-06,2,1002.300801038742,0,15.298158645629885,1002.300801038742,[0.]
45,2023-09-07,2,1002.300801038742,0,15.24986743927002,1002.300801038742,[0.]
46,2023-09-08,2,1002.300801038742,0,15.240209579467772,1002.300801038742,[0.]
47,2023-09-11,2,1002.300801038742,0,15.520289421081545,1002.300801038742,[0.]
48,2023-09-12,2,1002.300801038742,0,15.50097370147705,1002.300801038742,[0.]
49,2023-09-13,2,1002.300801038742,0,15.568581581115724,1002.300801038742,[0.]
50,2023-09-14,2,1002.300801038742,0,15.77139663696289,1002.300801038742,[0.]
51,2023-09-15,2,1002.300801038742,0,16.070791244506836,1002.300801038742,[0.]
