step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward,real_shares_bought,real_shares_sold
0,2024-08-19,0,1000.0,0.0,225.39393615722656,0.0,1000.0,[-1.],0.0,0.0
1,2024-08-20,0,1000.0,0.0,226.0125732421875,0.0,1000.0,[-1.],0.0,0.0
2,2024-08-21,0,1000.0,0.0,225.90280151367188,0.0,1000.0,[-1.],0.0,0.0
3,2024-08-22,1,352.15984777832034,3.0,224.03692626953125,215.51568603515625,1024.2706265869142,[-1.1184441],3.0,0.0
4,2024-08-23,2,1002.0144096374512,0.0,226.3418426513672,0.0,1002.0144096374512,[3.472087],0.0,3.0
5,2024-08-26,0,1002.0144096374512,0.0,226.6810913085937,0.0,1002.0144096374512,[-1.],0.0,0.0
6,2024-08-27,0,1002.0144096374512,0.0,227.5292205810547,0.0,1002.0144096374512,[-1.],0.0,0.0
7,2024-08-28,2,1002.0144096374512,0.0,225.9926147460937,0.0,1002.0144096374512,[-1.3],0.0,0.0
8,2024-08-29,2,1002.0144096374512,0.0,229.28536987304688,0.0,1002.0144096374512,[-1.3],0.0,0.0
9,2024-08-30,0,1002.0144096374512,0.0,228.49710083007807,0.0,1002.0144096374512,[-1.],0.0,0.0
10,2024-09-03,0,1002.0144096374512,0.0,222.28077697753903,0.0,1002.0144096374512,[-1.],0.0,0.0
11,2024-09-04,1,322.9505882873535,3.0,220.3650054931641,225.90280151367188,984.0456047668458,[-1.1217335],3.0,0.0
12,2024-09-05,2,993.7171455383301,0.0,221.89163208007807,0.0,993.7171455383301,[-1.1879356],0.0,3.0
13,2024-09-06,1,313.3335665283204,3.0,220.3350830078125,226.3418426513672,974.3388155517579,[-1.1218725],3.0,0.0
14,2024-09-09,0,313.3335665283204,3.0,220.42486572265625,226.3418426513672,974.6081636962891,[0.5014247],0.0,0.0
15,2024-09-10,1,85.34928750610356,4.0,219.6266326904297,226.63868713378906,963.8558182678223,[0.68319595],1.0,0.0
16,2024-09-11,1,85.34928750610356,4.0,222.1710205078125,226.63868713378906,974.0333695373536,[-1.2384393],0.0,0.0
17,2024-09-12,1,85.34928750610356,4.0,222.28077697753903,226.63868713378906,974.4723954162597,[1.1660614],0.0,0.0
18,2024-09-13,0,85.34928750610356,4.0,222.01138305664065,226.63868713378906,973.3948197326662,[-1.2094592],0.0,0.0
19,2024-09-16,1,85.34928750610356,4.0,215.844955444336,226.63868713378906,948.7291092834475,[-1.2945958],0.0,0.0
20,2024-09-17,0,85.34928750610356,4.0,216.3139038085937,226.63868713378906,950.6049027404783,[-1.2429893],0.0,0.0
21,2024-09-18,1,85.34928750610356,4.0,220.20535278320312,226.63868713378906,966.1706986389161,[0.82458496],0.0,0.0
22,2024-09-19,1,85.34928750610356,4.0,228.3673858642578,226.63868713378906,998.8188309631348,[-1.2386786],0.0,0.0
23,2024-09-20,1,85.34928750610356,4.0,227.6988525390625,226.63868713378906,996.1446976623536,[0.21589765],0.0,0.0
24,2024-09-23,1,85.34928750610356,4.0,225.97265625,226.63868713378906,989.2399125061036,[-1.2295789],0.0,0.0
25,2024-09-24,2,972.256001373291,0.0,226.8706817626953,0.0,972.256001373291,[1.0971836],0.0,4.0
26,2024-09-25,1,304.0799857788087,3.0,225.8728790283203,222.28077697753903,981.6986228637696,[-1.0205866],3.0,0.0
27,2024-09-26,2,968.7820666503908,0.0,227.0203552246093,0.0,968.7820666503908,[-1.1729258],0.0,3.0
28,2024-09-27,1,319.95213058471677,3.0,227.2897491455078,215.84495544433602,1001.8213780212402,[-1.1335484],3.0,0.0
29,2024-09-30,2,967.5959585876462,0.0,232.4883270263672,0.0,967.5959585876462,[2.513673],0.0,3.0
30,2024-10-01,1,305.65866812133766,3.0,225.71324157714844,220.20535278320312,982.798392852783,[-1.1199293],3.0,0.0
