step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward,real_shares_bought,real_shares_sold
0,2023-07-05,0,1000.0,0.0,130.3800048828125,0.0,1000.0,[-1.],0.0,0.0
1,2023-07-06,0,1000.0,0.0,128.36000061035156,0.0,1000.0,[-1.],0.0,0.0
2,2023-07-07,0,1000.0,0.0,129.77999877929688,0.0,1000.0,[-1.],0.0,0.0
3,2023-07-10,1,617.2460144958497,3.0,127.12999725341795,127.33000183105467,998.6360062561037,[-1.0904723],3.0,0.0
4,2023-07-11,0,617.2460144958497,3.0,128.77999877929688,127.33000183105467,1003.5860108337404,[1.1542562],0.0,0.0
5,2023-07-12,1,229.35179467773452,6.0,130.8000030517578,128.18499755859375,1014.1518129882813,[-1.0422754],3.0,0.0
6,2023-07-13,1,101.19599314880386,7.0,134.3000030517578,128.14428383963448,1041.2960145111085,[-1.1190766],1.0,0.0
7,2023-07-14,2,1011.8909574127199,0.0,134.67999267578125,0.0,1011.8909574127199,[4.755979],0.0,7.0
8,2023-07-17,1,620.4496337432863,3.0,133.55999755859375,130.22000122070312,1021.1296264190676,[-1.0913901],3.0,0.0
9,2023-07-18,2,1010.8073683624269,0.0,132.8300018310547,0.0,1010.8073683624269,[0.45191842],0.0,3.0
10,2023-07-19,0,1010.8073683624269,0.0,135.36000061035156,0.0,1010.8073683624269,[-1.],0.0,0.0
11,2023-07-20,1,620.6886920318605,3.0,129.9600067138672,129.77999877929688,1010.568712173462,[-1.0912504],3.0,0.0
12,2023-07-21,1,238.53592028808612,6.0,130.0,128.45499801635742,1018.5359202880861,[-0.9942589],3.0,0.0
13,2023-07-24,2,1009.6705529785158,0.0,128.8000030517578,0.0,1009.6705529785158,[2.974593],0.0,6.0
14,2023-07-25,1,616.4857438049319,3.0,129.1300048828125,130.8000030517578,1003.8757584533694,[-1.0915743],3.0,0.0
15,2023-07-26,2,1018.5799529418948,0.0,128.14999389648438,0.0,1018.5799529418948,[4.3774557],0.0,3.0
16,2023-07-27,1,613.7318949584964,3.0,128.25,134.67999267578125,998.4818949584964,[-1.0928062],3.0,0.0
17,2023-07-28,1,212.25054229736355,6.0,132.2100067138672,134.1199951171875,1005.5105825805667,[-1.0825306],3.0,0.0
18,2023-07-31,1,79.15488046264676,7.0,133.67999267578125,133.93571036202567,1014.9148291931156,[-1.0622191],1.0,0.0
