step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward,real_shares_bought,real_shares_sold
0,2023-07-17,0,1000,0,1911.6461181640625,0,1000.0,[-1.],0,0
1,2023-07-18,2,1000,0,1897.5992431640625,0,1000.0,[-1.3],0,0
2,2023-07-19,2,1000,0,1889.0079345703125,0,1000.0,[-1.3],0,0
3,2023-07-20,0,1000,0,1890.9691162109373,0,1000.0,[-1.],0,0
4,2023-07-21,0,1000,0,1892.080078125,0,1000.0,[-1.],0,0
5,2023-07-22,2,1000,0,1864.912353515625,0,1000.0,[-1.3],0,0
6,2023-07-23,2,1000,0,1889.191650390625,0,1000.0,[-1.3],0,0
7,2023-07-24,2,1000,0,1850.0020751953125,0,1000.0,[-1.3],0,0
8,2023-07-25,2,1000,0,1857.741943359375,0,1000.0,[-1.3],0,0
9,2023-07-26,2,1000,0,1872.159912109375,0,1000.0,[-1.3],0,0
10,2023-07-27,0,1000,0,1860.357177734375,0,1000.0,[-1.],0,0
11,2023-07-28,2,1000,0,1874.744873046875,0,1000.0,[-1.3],0,0
12,2023-07-29,2,1000,0,1881.06884765625,0,1000.0,[-1.3],0,0
13,2023-07-30,2,1000,0,1861.643798828125,0,1000.0,[-1.3],0,0
14,2023-07-31,2,1000,0,1856.162353515625,0,1000.0,[-1.3],0,0
15,2023-08-01,2,1000,0,1871.7921142578125,0,1000.0,[-1.3],0,0
16,2023-08-02,2,1000,0,1839.0897216796875,0,1000.0,[-1.3],0,0
17,2023-08-03,2,1000,0,1835.136474609375,0,1000.0,[-1.3],0,0
18,2023-08-04,2,1000,0,1827.712890625,0,1000.0,[-1.3],0,0
19,2023-08-05,2,1000,0,1834.9879150390625,0,1000.0,[-1.3],0,0
20,2023-08-06,2,1000,0,1827.4620361328125,0,1000.0,[-1.35],0,0
21,2023-08-07,2,1000,0,1826.9388427734373,0,1000.0,[-1.35],0,0
22,2023-08-08,2,1000,0,1855.807373046875,0,1000.0,[-1.35],0,0
23,2023-08-09,2,1000,0,1854.297607421875,0,1000.0,[-1.35],0,0
24,2023-08-10,2,1000,0,1850.75341796875,0,1000.0,[-1.35],0,0
25,2023-08-11,2,1000,0,1847.1243896484373,0,1000.0,[-1.35],0,0
26,2023-08-12,2,1000,0,1848.889892578125,0,1000.0,[-1.35],0,0
27,2023-08-13,2,1000,0,1839.2801513671875,0,1000.0,[-1.35],0,0
28,2023-08-14,2,1000,0,1844.185791015625,0,1000.0,[-1.35],0,0
29,2023-08-15,2,1000,0,1826.9327392578125,0,1000.0,[-1.35],0,0
30,2023-08-16,2,1000,0,1805.6590576171875,0,1000.0,[-1.35],0,0
31,2023-08-17,2,1000,0,1684.9334716796875,0,1000.0,[-1.35],0,0
