step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward,real_shares_bought,real_shares_sold
0,2023-08-17,0,1000.0,0.0,219.22000122070312,0.0,1000.0,[-1.],0.0,0.0
1,2023-08-18,0,1000.0,0.0,215.4900054931641,0.0,1000.0,[-1.],0.0,0.0
2,2023-08-21,0,1000.0,0.0,231.27999877929688,0.0,1000.0,[-1.],0.0,0.0
3,2023-08-22,1,271.97685266113285,3.0,233.19000244140625,242.19000244140625,971.5468599853516,[-1.1268889],3.0,0.0
4,2023-08-23,2,1006.5248016967774,0.0,236.8600006103516,0.0,1006.5248016967774,[4.3752284],0.0,3.0
5,2023-08-24,0,1006.5248016967774,0.0,230.0399932861328,0.0,1006.5248016967774,[-1.],0.0,0.0
6,2023-08-25,0,1006.5248016967774,0.0,238.58999633789065,0.0,1006.5248016967774,[-1.],0.0,0.0
7,2023-08-28,0,1006.5248016967774,0.0,238.82000732421875,0.0,1006.5248016967774,[-1.],0.0,0.0
8,2023-08-29,0,1006.5248016967774,0.0,257.17999267578125,0.0,1006.5248016967774,[-1.],0.0,0.0
9,2023-08-30,1,347.54947802734387,3.0,256.8999938964844,219.22000122070312,1118.249459716797,[-1.1196173],3.0,0.0
10,2023-08-31,0,347.54947802734387,3.0,258.0799865722656,219.22000122070312,1121.7894377441407,[-1.24857],0.0,0.0
11,2023-09-01,1,115.80691925048839,4.0,245.009994506836,222.23500061035156,1095.8468972778323,[1.4767076],1.0,0.0
12,2023-09-05,1,115.80691925048839,4.0,256.489990234375,222.23500061035156,1141.7668801879884,[0.94342786],0.0,0.0
13,2023-09-06,2,1061.352041687012,0.0,251.9199981689453,0.0,1061.352041687012,[5.160806],0.0,4.0
14,2023-09-07,1,369.85182186889665,3.0,251.4900054931641,230.0399932861328,1124.321838348389,[-1.1230434],3.0,0.0
15,2023-09-08,1,130.7846455383302,4.0,248.5,232.17749404907227,1124.78464553833,[1.4632117],1.0,0.0
