step,date,action,balance,shares_held,price,total_asset,reward,real_shares_bought,real_shares_sold
0,2023-08-17,0,1000.0,0.0,219.22000122070312,1000.0,[-0.105],0.0,0.0
1,2023-08-18,0,1000.0,0.0,215.4900054931641,1000.0,[-0.105],0.0,0.0
2,2023-08-21,2,1000.0,0.0,231.27999877929688,1000.0,[-0.2],0.0,0.0
3,2023-08-22,2,1000.0,0.0,233.19000244140625,1000.0,[-0.2],0.0,0.0
4,2023-08-23,2,1000.0,0.0,236.8600006103516,1000.0,[-0.2],0.0,0.0
5,2023-08-24,2,1000.0,0.0,230.0399932861328,1000.0,[-0.2],0.0,0.0
6,2023-08-25,2,1000.0,0.0,238.58999633789065,1000.0,[-0.2],0.0,0.0
7,2023-08-28,2,1000.0,0.0,238.82000732421875,1000.0,[-0.2],0.0,0.0
8,2023-08-29,2,1000.0,0.0,257.17999267578125,1000.0,[-0.2],0.0,0.0
9,2023-08-30,2,1000.0,0.0,256.8999938964844,1000.0,[-0.2],0.0,0.0
10,2023-08-31,2,1000.0,0.0,258.0799865722656,1000.0,[-0.2],0.0,0.0
11,2023-09-01,2,1000.0,0.0,245.009994506836,1000.0,[-0.2],0.0,0.0
12,2023-09-05,2,1000.0,0.0,256.489990234375,1000.0,[-0.2],0.0,0.0
13,2023-09-06,2,1000.0,0.0,251.9199981689453,1000.0,[-0.2],0.0,0.0
14,2023-09-07,2,1000.0,0.0,251.4900054931641,1000.0,[-0.2],0.0,0.0
15,2023-09-08,2,1000.0,0.0,248.5,1000.0,[-0.2],0.0,0.0
16,2023-09-11,2,1000.0,0.0,273.5799865722656,1000.0,[-0.2],0.0,0.0
17,2023-09-12,2,1000.0,0.0,267.4800109863281,1000.0,[-0.2],0.0,0.0
18,2023-09-13,2,1000.0,0.0,271.29998779296875,1000.0,[-0.2],0.0,0.0
19,2023-09-14,2,1000.0,0.0,276.0400085449219,1000.0,[-0.2],0.0,0.0
20,2023-09-15,2,1000.0,0.0,274.3900146484375,1000.0,[-0.2],0.0,0.0
21,2023-09-18,2,1000.0,0.0,265.2799987792969,1000.0,[-0.2],0.0,0.0
22,2023-09-19,2,1000.0,0.0,266.5,1000.0,[-0.2],0.0,0.0
23,2023-09-20,2,1000.0,0.0,262.5899963378906,1000.0,[-0.2],0.0,0.0
24,2023-09-21,2,1000.0,0.0,255.6999969482422,1000.0,[-0.2],0.0,0.0
25,2023-09-22,2,1000.0,0.0,244.8800048828125,1000.0,[-0.2],0.0,0.0
26,2023-09-25,2,1000.0,0.0,246.9900054931641,1000.0,[-0.2],0.0,0.0
27,2023-09-26,2,1000.0,0.0,244.1199951171875,1000.0,[-0.2],0.0,0.0
28,2023-09-27,2,1000.0,0.0,240.5,1000.0,[-0.2],0.0,0.0
29,2023-09-28,2,1000.0,0.0,246.3800048828125,1000.0,[-0.2],0.0,0.0
30,2023-09-29,2,1000.0,0.0,250.22000122070312,1000.0,[-0.2],0.0,0.0
31,2023-10-02,2,1000.0,0.0,251.6000061035156,1000.0,[-0.2],0.0,0.0
32,2023-10-03,2,1000.0,0.0,246.52999877929688,1000.0,[-0.2],0.0,0.0
33,2023-10-04,2,1000.0,0.0,261.1600036621094,1000.0,[-0.2],0.0,0.0
34,2023-10-05,2,1000.0,0.0,260.04998779296875,1000.0,[-0.2],0.0,0.0
35,2023-10-06,2,1000.0,0.0,260.5299987792969,1000.0,[-0.2],0.0,0.0
36,2023-10-09,2,1000.0,0.0,259.6700134277344,1000.0,[-0.2],0.0,0.0
37,2023-10-10,2,1000.0,0.0,263.6199951171875,1000.0,[-0.2],0.0,0.0
38,2023-10-11,2,1000.0,0.0,262.989990234375,1000.0,[-0.2],0.0,0.0
39,2023-10-12,2,1000.0,0.0,258.8699951171875,1000.0,[-0.2],0.0,0.0
40,2023-10-13,2,1000.0,0.0,251.1199951171875,1000.0,[-0.2],0.0,0.0
41,2023-10-16,2,1000.0,0.0,253.9199981689453,1000.0,[-0.2],0.0,0.0
42,2023-10-17,2,1000.0,0.0,254.8500061035156,1000.0,[-0.2],0.0,0.0
43,2023-10-18,2,1000.0,0.0,242.67999267578125,1000.0,[-0.2],0.0,0.0
44,2023-10-19,2,1000.0,0.0,220.1100006103516,1000.0,[-0.2],0.0,0.0
45,2023-10-20,2,1000.0,0.0,211.9900054931641,1000.0,[-0.2],0.0,0.0
46,2023-10-23,2,1000.0,0.0,212.0800018310547,1000.0,[-0.2],0.0,0.0
47,2023-10-24,2,1000.0,0.0,216.5200042724609,1000.0,[-0.2],0.0,0.0
48,2023-10-25,2,1000.0,0.0,212.4199981689453,1000.0,[-0.2],0.0,0.0
49,2023-10-26,2,1000.0,0.0,205.759994506836,1000.0,[-0.2],0.0,0.0
50,2023-10-27,2,1000.0,0.0,207.3000030517578,1000.0,[-0.2],0.0,0.0
51,2023-10-30,2,1000.0,0.0,197.3600006103516,1000.0,[-0.2],0.0,0.0
52,2023-10-31,2,1000.0,0.0,200.83999633789065,1000.0,[-0.2],0.0,0.0
53,2023-11-01,2,1000.0,0.0,205.6600036621093,1000.0,[-0.2],0.0,0.0
54,2023-11-02,2,1000.0,0.0,218.509994506836,1000.0,[-0.2],0.0,0.0
55,2023-11-03,2,1000.0,0.0,219.9600067138672,1000.0,[-0.2],0.0,0.0
56,2023-11-06,2,1000.0,0.0,219.2700042724609,1000.0,[-0.2],0.0,0.0
57,2023-11-07,2,1000.0,0.0,222.17999267578125,1000.0,[-0.2],0.0,0.0
58,2023-11-08,2,1000.0,0.0,222.1100006103516,1000.0,[-0.2],0.0,0.0
59,2023-11-09,2,1000.0,0.0,209.97999572753903,1000.0,[-0.2],0.0,0.0
60,2023-11-10,2,1000.0,0.0,214.6499938964844,1000.0,[-0.2],0.0,0.0
61,2023-11-13,2,1000.0,0.0,223.7100067138672,1000.0,[-0.2],0.0,0.0
62,2023-11-14,2,1000.0,0.0,237.4100036621093,1000.0,[-0.2],0.0,0.0
63,2023-11-15,2,1000.0,0.0,242.83999633789065,1000.0,[-0.2],0.0,0.0
64,2023-11-16,2,1000.0,0.0,233.58999633789065,1000.0,[-0.2],0.0,0.0
65,2023-11-17,2,1000.0,0.0,234.3000030517578,1000.0,[-0.2],0.0,0.0
66,2023-11-20,2,1000.0,0.0,235.6000061035156,1000.0,[-0.2],0.0,0.0
67,2023-11-21,2,1000.0,0.0,241.1999969482422,1000.0,[-0.2],0.0,0.0
68,2023-11-22,2,1000.0,0.0,234.2100067138672,1000.0,[-0.2],0.0,0.0
69,2023-11-24,2,1000.0,0.0,235.4499969482422,1000.0,[-0.2],0.0,0.0
70,2023-11-27,2,1000.0,0.0,236.0800018310547,1000.0,[-0.2],0.0,0.0
71,2023-11-28,2,1000.0,0.0,246.72000122070312,1000.0,[-0.2],0.0,0.0
72,2023-11-29,2,1000.0,0.0,244.13999938964844,1000.0,[-0.2],0.0,0.0
73,2023-11-30,2,1000.0,0.0,240.0800018310547,1000.0,[-0.2],0.0,0.0
74,2023-12-01,2,1000.0,0.0,238.8300018310547,1000.0,[-0.2],0.0,0.0
75,2023-12-04,2,1000.0,0.0,235.5800018310547,1000.0,[-0.2],0.0,0.0
76,2023-12-05,2,1000.0,0.0,238.72000122070312,1000.0,[-0.2],0.0,0.0
77,2023-12-06,2,1000.0,0.0,239.3699951171875,1000.0,[-0.2],0.0,0.0
78,2023-12-07,1,292.237309173584,3.0,242.63999938964844,1020.1573073425293,[-0.57193047],3.0,0.0
79,2023-12-08,2,999.0608346557617,0.0,243.83999633789065,999.0608346557617,[1.0292941],0.0,3.0
80,2023-12-11,2,999.0608346557617,0.0,239.7400054931641,999.0608346557617,[-0.2],0.0,0.0
81,2023-12-12,2,999.0608346557617,0.0,237.009994506836,999.0608346557617,[-0.2],0.0,0.0
82,2023-12-13,2,999.0608346557617,0.0,239.2899932861328,999.0608346557617,[-0.2],0.0,0.0
83,2023-12-14,2,999.0608346557617,0.0,251.0500030517578,999.0608346557617,[-0.2],0.0,0.0
84,2023-12-15,2,999.0608346557617,0.0,253.5,999.0608346557617,[-0.2],0.0,0.0
85,2023-12-18,2,999.0608346557617,0.0,252.0800018310547,999.0608346557617,[-0.2],0.0,0.0
86,2023-12-19,2,999.0608346557617,0.0,257.2200012207031,999.0608346557617,[-0.2],0.0,0.0
87,2023-12-20,2,999.0608346557617,0.0,247.13999938964844,999.0608346557617,[-0.2],0.0,0.0
88,2023-12-21,2,999.0608346557617,0.0,254.5,999.0608346557617,[-0.2],0.0,0.0
89,2023-12-22,2,999.0608346557617,0.0,252.5399932861328,999.0608346557617,[-0.2],0.0,0.0
90,2023-12-26,2,999.0608346557617,0.0,256.6099853515625,999.0608346557617,[-0.2],0.0,0.0
91,2023-12-27,2,999.0608346557617,0.0,261.44000244140625,999.0608346557617,[-0.2],0.0,0.0
92,2023-12-28,2,999.0608346557617,0.0,253.17999267578125,999.0608346557617,[-0.2],0.0,0.0
93,2023-12-29,2,999.0608346557617,0.0,248.47999572753903,999.0608346557617,[-0.2],0.0,0.0
94,2024-01-02,0,999.0608346557617,0.0,248.4199981689453,999.0608346557617,[-0.105],0.0,0.0
95,2024-01-03,2,999.0608346557617,0.0,238.4499969482422,999.0608346557617,[-0.2],0.0,0.0
96,2024-01-04,2,999.0608346557617,0.0,237.92999267578125,999.0608346557617,[-0.2],0.0,0.0
97,2024-01-05,2,999.0608346557617,0.0,237.4900054931641,999.0608346557617,[-0.2],0.0,0.0
98,2024-01-08,2,999.0608346557617,0.0,240.4499969482422,999.0608346557617,[-0.2],0.0,0.0
99,2024-01-09,2,999.0608346557617,0.0,234.9600067138672,999.0608346557617,[-0.2],0.0,0.0
100,2024-01-10,2,999.0608346557617,0.0,233.94000244140625,999.0608346557617,[-0.2],0.0,0.0
101,2024-01-11,2,999.0608346557617,0.0,227.22000122070312,999.0608346557617,[-0.2],0.0,0.0
102,2024-01-12,2,999.0608346557617,0.0,218.88999938964844,999.0608346557617,[-0.2],0.0,0.0
103,2024-01-16,2,999.0608346557617,0.0,219.9100036621093,999.0608346557617,[-0.2],0.0,0.0
104,2024-01-17,2,999.0608346557617,0.0,215.5500030517578,999.0608346557617,[-0.2],0.0,0.0
105,2024-01-18,2,999.0608346557617,0.0,211.8800048828125,999.0608346557617,[-0.2],0.0,0.0
106,2024-01-19,2,999.0608346557617,0.0,212.19000244140625,999.0608346557617,[-0.2],0.0,0.0
107,2024-01-22,2,999.0608346557617,0.0,208.8000030517578,999.0608346557617,[-0.2],0.0,0.0
108,2024-01-23,2,999.0608346557617,0.0,209.13999938964844,999.0608346557617,[-0.2],0.0,0.0
